pos_date,pos_hour,date_hour,shop_nm,sales_amt,prom_yn
20170617,17,2017061717,A,2052.0,N
20170619,22,2017061922,B,1213.0,N
20170619,22,2017061922,A,1323.0,N
20170619,13,2017061913,A,1544.0,N
20170619,13,2017061913,B,1875.0,N
20170620,19,2017062019,A,2647.0,N
20170620,19,2017062019,B,1875.0,N
20170621,21,2017062121,A,4963.0,N
20170621,21,2017062121,B,2316.0,N
20170621,12,2017062112,A,661.0,N
20170621,12,2017062112,B,1323.0,N
20170622,15,2017062215,A,3419.0,N
20170622,15,2017062215,B,2426.0,N
20170623,18,2017062318,B,2867.0,N
20170623,18,2017062318,A,2095.0,N
20170624,11,2017062411,A,441.0,N
20170624,20,2017062420,B,2023.0,N
20170624,20,2017062420,A,4522.0,N
20170625,14,2017062514,B,1654.0,Y
20170625,14,2017062514,A,1985.0,Y
20170626,17,2017062617,B,1544.0,Y
20170627,10,2017062710,B,441.0,Y
20170628,22,2017062822,B,1875.0,Y
20170628,13,2017062813,B,1323.0,Y
20170628,13,2017062813,A,2206.0,Y
20170628,22,2017062822,A,1433.0,Y
20170629,16,2017062916,B,2757.0,Y
20170629,16,2017062916,A,2426.0,Y
20170630,21,2017063021,A,3970.0,Y
20170630,12,2017063012,A,1654.0,Y
20170630,21,2017063021,B,2536.0,Y
20170630,12,2017063012,B,661.0,Y
20170606,11,2017060611,B,772.0,N
20170606,20,2017060620,B,1103.0,N
20170615,11,2017061511,B,441.0,N
20170615,11,2017061511,A,220.0,N
20170626,17,2017062617,A,992.0,Y
20170627,10,2017062710,A,330.0,Y
20170616,23,2017061623,A,110.0,N
20170618,10,2017061810,A,551.0,N
20170624,11,2017062411,B,551.0,N
20170609,10,2017060910,A,220.0,N
20170618,10,2017061810,B,220.0,N
20170601,17,2017060117,A,2316.0,N
20170601,17,2017060117,B,1764.0,N
20170602,10,2017060210,A,661.0,N
20170603,13,2017060313,B,1985.0,N
20170603,13,2017060313,A,2316.0,N
20170603,22,2017060322,B,1544.0,N
20170603,22,2017060322,A,2536.0,N
20170604,16,2017060416,A,2206.0,N
20170604,16,2017060416,B,1985.0,N
20170605,19,2017060519,B,3970.0,N
20170605,19,2017060519,A,2757.0,N
20170606,12,2017060612,B,1544.0,N
20170606,21,2017060621,B,882.0,N
20170606,21,2017060621,A,992.0,N
20170606,12,2017060612,A,1213.0,N
20170607,15,2017060715,B,1103.0,N
20170607,15,2017060715,A,2206.0,N
20170608,18,2017060818,B,2206.0,N
20170608,18,2017060818,A,2536.0,N
20170609,20,2017060920,A,2536.0,N
20170609,11,2017060911,A,661.0,N
20170609,20,2017060920,B,2978.0,N
20170610,17,2017061017,B,3860.0,N
20170610,17,2017061017,A,3529.0,N
20170611,10,2017061110,B,220.0,N
20170612,22,2017061222,B,1985.0,N
20170612,22,2017061222,A,1323.0,N
20170612,13,2017061213,B,772.0,N
20170612,13,2017061213,A,882.0,N
20170613,16,2017061316,B,1544.0,N
